id,code,AggIndex,SMILES,color_in_powder,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,application1,application2,application3,application4,pka,comment,tested_solvent
2179,TCTA-BP-PXZ,NULL,O=C(C1=CC(C(C=CC=C2)=C2N3C4=CC=C(N(C5=CC=C(N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C5)C9=CC=C(N%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)C=C9)C=C4)=C3C=C1)C%13=CC=C(N%14C(C=CC=C%15)=C%15OC%16=C%14C=CC=C%16)C=C%13,yellow,1025,340,NULL,529,NULL,NULL,4.9,53.5,NULL,NULL,3.6,435.8,NULL,NULL,AIDF,other,1,NULL,NULL,0,1,NULL,1,0,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2180,TCTA-BP-DMAC,NULL,O=C(C1=CC(C(C=CC=C2)=C2N3C4=CC=C(N(C5=CC=C(N6C(C=CC=C7)=C7C8=C6C=CC=C8)C=C5)C9=CC=C(N%10C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)C=C9)C=C4)=C3C=C1)C%13=CC=C(N%14C(C=CC=C%15)=C%15C(C)(C)C%16=C%14C=CC=C%16)C=C%13,yellow,1051,341,558,491,555,NULL,7.2,57.6,NULL,NULL,36.9,1776.3,NULL,NULL,AIDF,other,1,NULL,0,0,1,NULL,1,0,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,NULL,NULL,THF
2181,f-TPE-BPy,NULL,C(/C1=C(C2=CC=NC=C2)C=CC=C1)(C3=CC=CC=C3)=C(C4=CC=CC=C4C5=CC=NC=C5)C6=CC=CC=C6,yellow,487,318,477,474,NULL,472,34,50,NULL,45,4.8,7.5,NULL,7,AIE,other,NULL,NULL,1,1,1,1,1,1,0,NULL,NULL,9550,NULL,NULL,optoelectronic devices,NULL,NULL,NULL,NULL,NULL,THF
2182,DPS-PXZ,NULL,O=S(C1=CC=C(N2C(C=CC=C3)=C3OC4=C2C=CC=C4)C=C1)(C5=CC=C(N6C(C=CC=C7)=C7OC8=C6C=CC=C8)C=C5)=O,yellow,580,385,NULL,535,535,NULL,3.1,16.3,NULL,NULL,800,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,7,NULL,THF
2183,f-TPE-BPSMe,NULL,CSc1ccc(cc1)c2ccccc2/C(c3ccccc3)=C(c4ccccc4)c5ccccc5c6ccc(SC)cc6,white,576,282,484,470,NULL,477,23,52,NULL,36,2.4,4.6,NULL,4.4,AIE,other,NULL,NULL,1,1,1,1,1,1,0,NULL,NULL,38000,NULL,NULL,optoelectronic devices,NULL,NULL,NULL,NULL,NULL,THF
2184,DBTO-PXZ,NULL,O=S1(C2=CC=C(N3C(C=CC=C4)=C4OC5=C3C=CC=C5)C=C2C6=C1C=CC(N7C(C=CC=C8)=C8OC9=C7C=CC=C9)=C6)=O,yellow,578,405,NULL,569,569,NULL,1,6.7,NULL,NULL,700,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,7,NULL,THF
2185,f-TPE-BPOMe,NULL,COc1ccc(cc1)c2ccccc2/C(c3ccccc3)=C(c4ccccc4)c5ccccc5c6ccc(OC)cc6,white,544,320,490,462,NULL,472,19,41,NULL,28,4,5.8,NULL,6.3,AIE,other,NULL,NULL,1,1,1,1,1,1,0,NULL,NULL,10400,NULL,NULL,optoelectronic devices,NULL,NULL,NULL,NULL,NULL,THF
2186,DPS-PTZ,NULL,O=S(C1=CC=C(N2C(C=CC=C3)=C3SC4=C2C=CC=C4)C=C1)(C5=CC=C(N6C(C=CC=C7)=C7SC8=C6C=CC=C8)C=C5)=O,yellow,612,318,NULL,519,519,NULL,1.6,20.3,NULL,NULL,52300,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,7,NULL,THF
2187,DBTO-PTZ,NULL,O=S1(C2=CC=C(N3C(C=CC=C4)=C4SC5=C3C=CC=C5)C=C2C6=C1C=CC(N7C(C=CC=C8)=C8SC9=C7C=CC=C9)=C6)=O,yellow,610,330,NULL,563,563,NULL,1.2,10.7,NULL,NULL,2300,NULL,NULL,NULL,AIDF,neutral aromatic,1,0,0,0,1,0,1,1,0,NULL,NULL,NULL,NULL,1,OLED,NULL,NULL,NULL,7,NULL,THF
2188,f-TPE-BPF,NULL,Fc1ccc(cc1)c2ccccc2/C(c3ccccc3)=C(c4ccccc4)c5ccccc5c6ccc(F)cc6,white,520,318,483,466,NULL,450,30,55,NULL,47,4.5,6.6,NULL,7.3,AIE,other,NULL,NULL,1,1,1,1,1,1,0,NULL,NULL,9550,NULL,NULL,optoelectronic devices,NULL,NULL,NULL,NULL,NULL,THF
