id,code,AggIndex,SMILES,color_in_powder,molecular_weight,absorption,emission_sol,emission_solid,emission_aggr,emission_crys,qy_sol,qy_solid,qy_aggr,qy_crys,tau_sol,tau_solid,tau_aggr,tau_crys,features_id,mechanism_id,photostability,solubility_carbohyd,solubility_dmsodmf,solubility_enol,solubility_halogen,solubility_mecnacetone,solubility_thfea,solubility_toluene,solubility_water,molar_aggr,molar_crys,molar_sol,molar_solid,thermostability,application1,application2,application3,application4,pka,comment,tested_solvent
156,Bnpy-TPA,156,N#C/C(c1ccc(c2cc[n+](Cc3ccccc3)cc2)cc1)=C\c4ccc(N(c5ccccc5)c6ccccc6)cc4.[Br],red,619.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,phosphoniumpy-TPA,157,N#C/C(=C\c3ccc(N(c1ccccc1)c2ccccc2)cc3)c8ccc(c7cc[n+](CCC[P+](c4ccccc4)(c5ccccc5)c6ccccc6)cc7)cc8,yellow,649.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,,158,CN(C)c1cc2ccc(/C=C(C#N)/c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c(OC)c2cc1,yellow,464.13,425,560,555,NULL,NULL,NULL,0.243,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,,159,CN(C)c1cc2ccc(/C=C(C#N)/c3ccc(c4ccccc4)cc3)c(OC)c2cc1,orange,404.19,409,523,566,NULL,NULL,NULL,0.214,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,,160,CN(C)c1cc2ccc(/C=C(C#N)/c3ccc(Br)cc3)c(OC)c2cc1,red,406.07,409,525,597,NULL,NULL,NULL,0.082,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,,161,CN(C)c1cc2ccc(/C=C(C#N)/c3ccc(c4ccncc4)cc3)c(OC)c2cc1,red,405.18,413,541,619,NULL,NULL,NULL,0.184,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,,162,CN(C)c1cc2ccc(/C=C(C#N)/c3ccc(c4cc[n+](C)cc4)cc3)c(OC)c2cc1,red,565.17,455,540,676,NULL,NULL,NULL,0.041,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,,163,O=C(c1ccccc1C/2=O)C2=C\c3ccc(c4ccc(N(c5ccccc5)c6ccccc6)cc4n7CC)c7c3,red,518.616,NULL,631,NULL,653,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,,164,O=C(c1ccccc1C/2=O)C2=C\c3ccc(c4ccc(N(c5ccccc5)c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc6)cc4n%10CC)c%10c3,NULL,772.948,NULL,656,NULL,656,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,TPE-IS,165,CC(C/1)CC(/C=C/c2ccc(/C(c3ccccc3)=C(c4ccccc4)\c5ccccc5)cc2)=CC1=C(C#N)/C#N,NULL,514.672,425,605,NULL,607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,TPE-MOI,166,CC(C/1)CC(/C=C/c2ccc(/C(c3ccccc3)=C(c4ccc(OC)cc4)\c5ccc(OC)cc5)cc2)=CC1=C(C#N)/C#N,red,574.727,450,666,NULL,660,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,AIE-ISO-Lyso,167,CC(C/1)CC(/C=C/c2ccc(OCCCCCCN3CCOCC3)cc2)=CC1=C(C#N)/C#N,white,703.91,460,596,NULL,640,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,,168,CCn1c2cc(/C(c3ccccc3)=C(c4ccccc4)/c5ccccc5)ccc2c6ccc(/C(c7ccccc7)=C(c8ccccc8)/c9ccccc9)cc61,white,703.91,385,480,NULL,481,NULL,NULL,0.6063,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,,169,CCn1c2ccc(/C(c3ccccc3)=C(c4ccccc4)\c5ccccc5)cc2c6cc(/C(c7ccccc7)=C(c8ccccc8)\c9ccccc9)ccc61,white,708,410,475,NULL,476,NULL,NULL,0.7137,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,,170,[H]C(Oc1ccc(/C(c2ccccc2)=C(c3ccccc3)/c4ccccc4)cc1)([H])Oc5ccc(/C(c6ccccc6)=C(c7ccccc7)/c8ccccc8)cc5,white,449.58,360,457,NULL,460,NULL,NULL,0.1803,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,2-CZTPE,171,CCn1c2ccccc2c3ccc(/C(c4ccccc4)=C(c5ccccc5)/c6ccccc6)cc31,white,449.58,375,490,NULL,492,NULL,NULL,0.2312,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,3-CZTPE,172,CCn1c2ccccc2c3cc(/C(c4ccccc4)=C(c5ccccc5)\c6ccccc6)ccc31,white,297.3499,375,480,NULL,483,NULL,NULL,0.3639,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,1,173,C1(c2ccccc2)=C(c3ccccc3)OC(c4ccccc4)=N1,white,443.322,307,373,NULL,NULL,NULL,NULL,0.222,NULL,NULL,NULL,0.89,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,2,174,C1(c2ccccc2)=C[N+](c3ccccc3)=C(c4ccccc4)O1,white,519.418,351,431,NULL,NULL,NULL,NULL,0.177,NULL,NULL,NULL,1.32,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,3,175,C1(c2ccccc2)=C(c3ccccc3)OC(c4ccccc4)=[N+]1c5ccccc5,white,549.444,333,419,NULL,NULL,NULL,NULL,0.1858,NULL,NULL,NULL,1.02,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,4,176,COc1ccc([n+]2c(c3ccccc3)c(c4ccccc4)oc2c5ccccc5)cc1,white,579.4705,332,433,NULL,NULL,NULL,NULL,0.2154,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,5,177,COc1ccc(c2c(c3ccc(OC)cc3)oc(c4ccccc4)[n+]2c5ccccc5)cc1,white,609.4959,355,484,NULL,NULL,NULL,NULL,0.3668,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,6,178,COc1ccc(c2c(c3ccc(OC)cc3)oc(c4ccc(OC)cc4)[n+]2c5ccccc5)cc1,white,639.5219,364,480,NULL,NULL,NULL,NULL,0.4688,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,7,179,COc1ccc([n+]2c(c3ccc(OC)cc3)c(c4ccc(OC)cc4)oc2c5ccc(OC)cc5)cc1,yellow,512,364,476,NULL,NULL,NULL,NULL,0.7189,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,TPE-DZF,180,O=C1c2cc(c3ccc(/C(c4ccccc4)=C(c5ccccc5)\c6ccccc6)cc3)cnc2c7c1cccn7,red,425,347,588,554,544,NULL,NULL,0.12,NULL,NULL,NULL,6.8,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,TPA-DZF,181,O=C1c2cc(c3ccc(N(c4ccccc4)c5ccccc5)cc3)cnc2c6c1cccn6,red,485,392,624,615,611,NULL,NULL,0.06,NULL,NULL,NULL,22.15,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,TPA-Ome-DZF,182,O=C1c2cc(c3ccc(N(c4ccc(OC)cc4)c5ccc(OC)cc5)cc3)cnc2c6c1cccn6,red,397,406,NULL,631,627,NULL,NULL,0.015,NULL,NULL,NULL,22.65,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,TPA-MN,183,N#C/C(C#N)=C/c1ccc(c2ccc(N(c3ccccc3)c4ccccc4)cc2)cc1,red,403,440,618,649,640,NULL,NULL,0.186,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,TPA-S-MN,184,N#C/C(C#N)=C/c1sc(c2ccc(N(c3ccccc3)c4ccccc4)cc2)cc1,red,1006,485,619,690,658,NULL,NULL,0.158,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,,185,CN(C)c1ccc(/C(c2ccc(N(C)C)cc2)=C(c3ccc(c4sc(c5ccc(/C(c6ccccc6)=C(c7ccc(N(C)C)cc7)/c8ccc(N(C)C)cc8)cc5)c([N+]([O-])=O)c4[N+]([O-])=O)cc3)/c9ccccc9)cc1,red,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,TPCB,186,Oc1ccc(C(/C=C/c2ccc(N(c3ccccc3)c4ccccc4)cc2)=C(C#N)/C#N)cc1,red,439.5,480,660,655,NULL,NULL,NULL,NULL,0.17,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,TPCMB,187,COc1ccc(C(/C=C/c2ccc(N(c3ccccc3)c4ccccc4)cc2)=C(C#N)/C#N)cc1,red,453.5,478,660,655,NULL,NULL,NULL,NULL,0.19,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,TPCAB,188,O=C(C=C)Oc1ccc(C(/C=C/c2ccc(N(c3ccccc3)c4ccccc4)cc2)=C(C#N)/C#N)cc1,yellow,493.5,476,645,649,NULL,NULL,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
189,PBP,189,Oc1c(/C=N/N=C/c2ccc(/C=N/N=C/c3c(O)cccc3)cc2)cccc1,yellow,370.1,410,580,581,NULL,NULL,NULL,0.013,0.017,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,EBP,190,Oc1c(/C=N/N=C/C=N/N=C/c2c(O)cccc2)cccc1,yellow,294.1,408,618,615,NULL,NULL,NULL,0.009,0.007,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,SATPA,191,Oc1c(/C=N/N=C/c2ccc(N(c3ccccc3)c4ccccc4)cc2)cccc1,red,391.2,405,541,546,NULL,NULL,NULL,NULL,0.09,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
192,TPABDC,192,N#C/C(C#N)=C/c1ccc(c2ccc(N(c3ccccc3)c4ccccc4)cc2)cc1,yellow,397.2,467,636,639,NULL,NULL,NULL,NULL,0.15,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
193,TPAB-3HF,193,O=c1c(O)c(c2ccc(c3ccc(N(c4ccccc4)c5ccccc5)cc3)cc2)oc6ccccc61,yellow,481.2,420,510,511,NULL,NULL,NULL,NULL,0.21,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
194,SABB,194,Oc1c(/C=N/N=C/c2ccc(c3ccccc3)cc2)cccc1,yellow,300.1,400,540,549,NULL,NULL,NULL,NULL,0.13,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,6-Methoxy-NaphAS,195,COc1cc2ccc(/C=N/N=C/c3c(O)cccc3)cc2cc1,orange,304.1,395,545,543,NULL,NULL,NULL,NULL,0.12,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
196,TPA-PC,196,O=C(c1ncccc1)/C=C/c2ccc(N(c3ccccc3)c4ccccc4)cc2,yellow,376.15,470,587,590,NULL,NULL,NULL,NULL,0.23,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
197,TPE-T3HF,197,O=c1c(O)c(c2ccc(c3ccc(/C(c4ccc(c5ccc(c(c6O)oc7ccccc7c6=O)cc5)cc4)=C(c8ccc(c9ccc(c(oc%10ccccc%10%11)c(O)c%11=O)cc9)cc8)\c%12ccc(c%13ccc(c(c%14O)oc%15ccccc%15c%14=O)cc%13)cc%12)cc3)cc2)oc%16ccccc%161,yellow,1276.35,399,520,521,NULL,NULL,NULL,NULL,0.16,NULL,NULL,NULL,NULL,NULL,AIE,ESIPT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
198,TPAP-B,198,c1ccc(cc1)N(c1ccccc1)c1ccc2-c3cccc[n+]3[B-](c2c1)(c1ccccc1)c1ccccc1,red,486.5,390,490,470,NULL,NULL,NULL,0.699,NULL,NULL,NULL,5.2,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
199,NULL,199,O=C(c1cc(c2ccc(/C(c3ccc(c4cc(C(N(CC(CC)CCCC)C5=O)=O)c6c5ccc7c6c4c8ccc9c%10c8c7ccc%10C(N(CC(CC)CCCC)C9=O)=O)cc3)=C\c%11ccccc%11)cc2)c(c%12ccc(C(N(CC(CC)CCCC)C%13=O)=O)c%14c%13ccc%15c%12%14)c%16c%15ccc%17c%161)N(CC(CC)CCCC)C%17=O,yellow,1482,536,630,650,490,NULL,NULL,0.04,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
200,,200,CCOc1ccc(/C(c2ccc(OCC)cc2)=C(c3ccccc3)/c4ccc(c5cc6ccc7cc(c8ccc(/C(c9ccccc9)=C(c%10ccc(OCC)cc%10)\c%11ccc(OCC)cc%11)cc8)cc(c7c6%12)ccc%12c5)cc4)cc1,yellow,1038.4648,NULL,474,474,NULL,NULL,NULL,0.4668,NULL,NULL,NULL,2.43,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
201,,201,CCN(CC)c1ccc(/C(c2ccc(N(CC)CC)cc2)=C(c3ccccc3)/c4ccc(c5cc6ccc7cc(c8ccc(/C(c9ccccc9)=C(c%10ccc(N(CC)CC)cc%10)\c%11ccc(N(CC)CC)cc%11)cc8)cc(c7c6%12)ccc%12c5)cc4)cc1,yellow,1146.6539,NULL,565,565,468,NULL,NULL,0.0384,NULL,NULL,NULL,2.2,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
202,,202,CCN(CC)c1ccc(/C(c2ccc(N(CC)CC)cc2)=C(c3ccccc3)/c4ccc(c5cc6ccc7cc(c8ccc(/C(c9ccccc9)=C(c%10ccccc%10)\c%11ccccc%11)cc8)cc(c7c6%12)ccc%12c5)cc4)cc1,yellow,1004.507,NULL,531,531,510,NULL,NULL,0.0676,NULL,NULL,NULL,2.12,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
203,,203,CCOc1ccc(/C(c2ccc(OCC)cc2)=C(c3ccccc3)\c4ccc(c5cc(c6c78)ccc8cccc7ccc6c5)cc4)cc1,yellow,620.2715,NULL,500,500,544,NULL,NULL,0.1984,NULL,NULL,NULL,4.5,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
204,,204,CCN(CC)c1ccc(/C(c2ccc(N(CC)CC)cc2)=C(c3ccccc3)\c4ccc(c5ccc6ccc7cccc8c7c6c5cc8)cc4)cc1,red,674.3661,NULL,530,530,494,NULL,0.009,0.0966,NULL,NULL,NULL,2.23,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
205,CSPP-NHS,205,C[N+](CC1)(C)CCN1c2ccc(/C=C(C#N)/c3ccc(c4cc[n+](CCCC(ON5C(CCC5=O)=O)=O)cc4)cc3)cc2,NULL,833.1,395,640,610,539,NULL,NULL,0.056,NULL,NULL,NULL,0.56,NULL,NULL,AIE,TICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
206,CSMPP,206,CN(CC1)CCN1c2ccc(/C=C(C#N)/c3ccc(c4ccncc4)cc3)cc2,white,380.2,385,502,526,620,NULL,NULL,0.254,NULL,NULL,NULL,NULL,NULL,NULL,AIE,TICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,DPDC,207,C[n+]1ccc(c2ccc(/C(C#N)=C(C#N)/c3ccc(c4cc[n+](C)cc4)cc3)cc2)cc1,yellow,704.44,350,425,515,518,NULL,NULL,0.025,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
208,PCMN,208,C[n+]1ccc(c2ccc(/C(C#N)=C/c3ccc4ccc(OC)cc4c3)cc2)cc1,blue,522.42,383,573,561,NULL,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
209,BTPE-BBT,209,CCCCOc1ccc(cc1)C(=C(c1ccccc1)c1ccc(cc1)-c1c2N=S=Nc2c(c2N=S=Nc12)-c1ccc(cc1)C(=C(c1ccc(OCCCC)cc1)c1ccc(OCCCC)cc1)c1ccccc1)c1ccc(OCCCC)cc1,green,1143.5,633,900,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
210,BPN-BBT,210,c1ccc(cc1)N(c1ccc(cc1)-c1c2N=S=Nc2c(c2N=S=Nc12)-c1ccc(cc1)N(c1ccccc1)c1cccc2ccccc12)c1cccc2ccccc12,orange,781,700,890,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
211,,211,Fc1c(N2c3ccccc3C(C)(C)c4ccccc42)c(C#N)c(Oc5ccc6ccccc6c5c7c(O8)ccc9ccccc79)c8c1C#N,yellow,635.2019,256,583,575,575,NULL,NULL,NULL,NULL,NULL,NULL,462,NULL,NULL,AIE,neutral aromatic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
212,,212,Cc1nc(c2ccc(N3c4ccccc4Oc5c3cccc5)cc2)nc(C)n1,NULL,366.1471,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
213,cm-n,213,c12nc(c3ccccc3)c(c4ccccc4)nc1cc5nc(c6ccccc6)c(c7ccccc7)nc5c2,black,486.6,360,450,450,NULL,NULL,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,AIE,neutral aromatic,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
214,Phoenix-1,214,N#C/C(C#N)=C1C2=C(C=CC=C2)C(/C/1=C(C=C(/C=C/c3ccc(N(c4ccccc4)c5ccccc5)cc3)O6)\C=C6/C=C/c7ccc(N(c8ccccc8)c9ccccc9)cc7)=C(C#N)/C#N,yellow,859,680,900,NULL,916,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AIE,ICT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
215,NAP-Ph,215,CN(C)c1cc2ccc(/C=C(C#N)/c3ccc(c4ccccc4)cc3)c(OC)c2cc1,orange,404.19,409,523,566,558,NULL,NULL,0.268,NULL,NULL,NULL,1.8,NULL,NULL,AIE,ICT,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
