id,code,AggIndex,SMILES,reference,molecular_weight,emission_solid,emission_aggr,features_id,mechanism_id,doi
2273,bp2TPEth,,O=C(CCCCCN1C=C(C2=CC=C(/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C5=CC=CC=C5)C=C2)N=N1)OC6=CC=C(C=C6)C7=CC=C(OC(CCCCCN8C=C(C9=CC=C(/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12)C=C9)N=N8)=O)C=C7,"J.Mater.Chem.,2012,22,10472每10479",1177.46,,480,AIE,neutral aromatic,10.1039/c2jm30620d
2274,(MesB)2DMTPS,,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C4=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C(C7=CC=C(B(C8=C(C)C=C(C)C=C8C)C9=C(C)C=C(C)C=C9C)C=C7)[Si]4(C)C)C=C3,"Adv.Funct.Mater.2014,24,3621-3630",910,516,520,AIE,ESIPT,10.1002/adfm.201303867
2275,(MesB)2MPPS,,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C4=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C(C7=CC=C(B(C8=C(C)C=C(C)C=C8C)C9=C(C)C=C(C)C=C9C)C=C7)[Si]4(C)C%10=CC=CC=C%10)C=C3,"Adv.Funct.Mater.2014,24,3621-3630",973,524,530,AIE,ESIPT,10.1002/adfm.201303867
2277,(MesB)2HPS,,CC1=CC(C)=CC(C)=C1B(C2=C(C)C=C(C)C=C2C)C3=CC=C(C4=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=C(C7=CC=C(B(C8=C(C)C=C(C)C=C8C)C9=C(C)C=C(C)C=C9C)C=C7)[Si]4(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C3,"Adv.Funct.Mater.2014,24,3621-3630",1035,526,532,AIE,ESIPT,10.1002/adfm.201303867
2282,TPA3TPAN,,N#C/C(C(C=C1)=CC=C1C(C=C2)=CC=C2N(C3=CC=C(C4=CC=C(/C(C#N)=C(C5=CC=CC=C5)/C6=CC=CC=C6)C=C4)C=C3)C7=CC=C(C8=CC=C(/C(C#N)=C(C9=CC=CC=C9)/C%10=CC=CC=C%10)C=C8)C=C7)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12,"Chem.Mater.,2012,24,1518-1528",1083.35,563,,AIE,ICT,10.1021/cm300416y
2285,DTPA4TPAN,,N#C/C(C(C=C1)=CC=C1C(C=C2)=CC=C2N(C3=CC=C(C(C=C4)=CC=C4N(C5=CC=C(C6=CC=C(/C(C#N)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C6)C=C5)C9=CC=C(C%10=CC=C(/C(C#N)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12)C=C%10)C=C9)C=C3)C%13=CC=C(C%14=CC=C(/C(C#N)=C(C%15=CC=CC=C%15)/C%16=CC=CC=C%16)C=C%14)C=C%13)=C(C%17=CC=CC=C%17)C%18=CC=CC=C%18,"Chem.Mater.,2012,24,1518-1528",1605.65,581,,AIE,ICT,10.1021/cm300416y
2293,TPEDMesB,,CC(C=C(C)C=C1C)=C1B(C2=C(C)C=C(C)C=C2C)C(C=C3)=CC=C3/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6,"Chem.Commun.,2011,47,11216-11218",580.62,,489,AIE,neutral aromatic,10.1039/c1cc14122h
2298,3TPETPA,,C1(N(C2=CC=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)C=C2)C7=CC=C(C8=CC=C(/C(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C8)C=C7)=CC=C(C%12=CC=C(/C(C%13=CC=CC=C%13)=C(C%14=CC=CC=C%14)C%15=CC=CC=C%15)C=C%12)C=C1,"Adv.Mater.2010,22(19),2159-2163",1236.62,484,484,AIE,neutral aromatic,10.1002/adma.200904056
2304,4TPEDTPA,,C1(N(C2=CC=C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)C=C2)C7=CC=C(C8=CC=C(/C(C9=CC=CC=C9)=C(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C=C8)C=C7)=CC=C(C%12=CC=C(N(C%13=CC=C(C%14=CC=C(/C(C%15=CC=CC=C%15)=C(C%16=CC=CC=C%16)C%17=CC=CC=C%17)C=C%14)C=C%13)C%18=CC=C(C%19=CC=C(/C(C%20=CC=CC=C%20)=C(C%21=CC=CC=C%21)C%22=CC=CC=C%22)C=C%19)C=C%18)C=C%12)C=C1,"Adv.Mater.2010,22(19),2159-2163",1810.35,,486,AIE,neutral aromatic,10.1002/adma.200904056
2328,PITBT-TPE,,C1(/C(C2=CC=CC=C2)=C(C3=CC=C(C4=CC=C(C5=CC=C(C6N=C7C(C(C=CC=C8)=C8C9=C7C=CC=C9)=[N]6C%10=CC=CC=C%10)S5)C%11=NSN=C%114)C=C3)C%12=CC=CC=C%12)=CC=CC=C1,"Adv.Funct.Mater.2017,27,1701418",840.24,641,,AIE,ESIPT,10.1002/adfm.201701418
2332,CD-7,,O=C1OC2=CC=CC=C2C3=C1C(N4C5=C3CCCCN5CCC4)=O/O=C1OC2=CC=CC=C2C3=C1C(N4C5=C3CCCCN5CCC4)=O,"Angew.Chem.Int.Ed.2015,54,14492每14497",322.36,480,,AIE,other,10.1002/anie.201506782
2333,PPPO,,O=P1(C2=CC=CC=C2)C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C(C5=CC=CC=C5)=C1C6=CC=CC=C6,"Chem.Eur.J.2015,21,4440-4449",480.55,532,,AIE,other,10.1002/chem.201405902
2334,TPPIO,,O=P1(C2=CC=CC=C2)C3=C(C=CC=C3)C(C4=CC=CC=C4)=C1C5=CC=CC=C5,"Chem.Eur.J.2015,21,4440-4449",378.41,478,,AIE,other,10.1002/chem.201405902
2335,TPPI,,C1(C2=CC=CC=C2)=C(C3=CC=CC=C3)C(C=CC=C4)=C4P1C5=CC=CC=C5,"Chem.Eur.J.2015,21,4440-4449",362.41,469,,AIE,other,10.1002/chem.201405902
2348,f-DBP-DBPE,,c1(c2ccccc2)c(C(C3=CC=C(C4=CC=CC=C4)C=C3)=c(C5=CC=C(C6=CC=CC=C6)C=C5)c7c(c8ccccc8)cccc7)cccc1,"J.Mater.Chem.C,2016,4,9316--9324",636.84,490,,AIE,other,10.1039/c6tc03767d
2349,f-DBP-DFLE,,c1(c2ccccc2)c(/C(C3=CC=C(C(C=CC=C4)=C4C5)C5=C3)=C(C6=CC(CC7=C8C=CC=C7)=C8C=C6)c9c(c%10ccccc%10)cccc9)cccc1,"J.Mater.Chem.C,2016,4,9316--9324",660.86,498,,AIE,other,10.1039/c6tc03767d
2350,DBP-DPy,,C1(C2=C(C(C3=C(C=CC4=CC=C5)C(C4=C5C=C6)=C6C=C3)C(C(C=C7)=C8C=CC9=CC=CC%10=C9C8=C7C=C%10)C%11=CC=CC=C%11C%12=CC=CC=C%12)C=CC=C2)=CC=CC=C1,"J.Mater.Chem.C,2016,4,9316--9324",734.94,502,,AIE,other,10.1039/c6tc03767d
2351,DBP-DTPA,,C1(C2=C(C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C(C6=CC=CC=C6C7=CC=CC=C7)C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=CC=C2)=CC=CC=C1,"J.Mater.Chem.C,2016,4,9316--9324",821.08,479,,AIE,other,10.1039/c6tc03767d
2352,DBP-DTPA,,C1(C2=C(C(C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)C(C6=CC=CC=C6C7=CC=CC=C7)C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)C=CC=C2)=CC=CC=C1,"J. Mater. Chem. C, 2016, 4, 9316--9324",820,479,,AIE,other,10.1039/c6tc03767d
2359,But-Phc,,O=C(C=C1NCCCC)N(CC2=CC=CC=C2)C1=O,"J.Org.Chem.2017,82,1096-1104",258.32,486,,AIE,ESIPT,10.1021/acs.joc.6b02706
2376, HPB-T3-SM,,CSC(C=C1)=CC=C1C2=C(C3=CC=CS3)C(C4=CC=CS4)=C(C5=CC=C(SC)C=C5)C(C6=CC=CS6)=C2C7=CC=CS7,,644,,,AIE,other,
2383,TPA-BDTO,,O=S1(C(C(C=C1C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=C6C=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)S5(=O)=O)OC(CC)CCCC)=C6OC(CC)CCCC)=O,"Adv.Funct.Mater.2018,1706945",969.27,660,640,AIE,ICT,10.1002/adfm.201706945
2385,CzP-BDTO,,CCC(COC1=C2C(C=C(S2(=O)=O)C3=CC=C(N4C5=C(C6=C4C=CC=C6)C=CC=C5)C=C3)=C(C7=C1C=C(C8=CC=C(N9C%10=C(C%11=C9C=CC=C%11)C=CC=C%10)C=C8)S7(=O)=O)OCC(CC)CCCC)CCCC,"Adv.Funct.Mater.2018,1706945",993,592,575,AIE,ICT,10.1002/adfm.201706945
2386,PCz-BDTO,,CCC(COC1=C2C(C=C(S2(=O)=O)C3=CC=C(N(C4=CC=CC=C4)C5=C6C=CC=C5)C6=C3)=C(C7=C1C=C(C8=CC=C(C(C=CC=C9)=C9N%10C%11=CC=CC=C%11)C%10=C8)S7(=O)=O)OCC(CC)CCCC)CCCC,"Adv.Funct.Mater.2018,1706945",993,602,,AIE,ICT,10.1002/adfm.201706945
2387,TCzP-BDTO,,CCC(COC1=C2C(C=C(S2(=O)=O)C3=CC=C(N4C5=C(C6=C4C=CC(C(C)(C)C)=C6)C=C(C=C5)C(C)(C)C)C=C3)=C(C7=C1C=C(C8=CC=C(N9C%10=C(C%11=C9C=CC(C(C)(C)C)=C%11)C=C(C=C%10)C(C)(C)C)C=C8)S7(=O)=O)OCC(CC)CCCC)CCCC,"Adv.Funct.Mater.2018,1706945",1217,606,,AIE,ICT,10.1002/adfm.201706945
2392,NTPE,,C(/C1=CC=CC=C1)(C2=CC=CC=C2)=C(C3=CC=CC=C3)/C4=CC(C=CC=C5)=C5C=C4,"Chem.Commun.,2013,49,2491-2493",382,487,,AIE,other,10.1039/c3cc00010a
2394,DNDPE,,C(/C1=CC=CC=C1)(C2=CC(C=CC=C3)=C3C=C2)=C(C4=CC=CC=C4)/C5=CC(C=CC=C6)=C6C=C5,"Chem.Commun.,2013,49,2491-2493",432,491,,AIE,other,10.1039/c3cc00010a
2395,TNPE,,C(/C1=CC=C(C=CC=C2)C2=C1)(C3=CC=CC=C3)=C(C4=CC=C(C=CC=C5)C5=C4)/C6=CC(C=CC=C7)=C7C=C6,"Chem.Commun.,2013,49,2491-2493",482,493,,AIE,other,10.1039/c3cc00010a
2396,TNE,,C(/C1=CC=C(C=CC=C2)C2=C1)(C3=CC(C=CC=C4)=C4C=C3)=C(C5=CC=C(C=CC=C6)C6=C5)/C7=CC(C=CC=C8)=C8C=C7,"Chem.Commun.,2013,49,2491-2493",532,494,,AIE,other,10.1039/c3cc00010a
2400,TPETPAN,,N#C/C(C(C=C1)=CC=C1C(C=C2)=CC=C2/C(C3=CC=CC=C3)=C(C4=CC=CC=C4)/C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7,"Adv.Mater.,2013,25,2837-2843",611.79,443,507,AIE,other,10.1002/adma.201205043
2401,TCzP-BDT,,CCC(CCCC)COC1=C2C(C=C(C(C=C3)=CC=C3N4C5=C(C=C(C(C)(C)C)C=C5)C6=C4C=CC(C(C)(C)C)=C6)S2)=C(OCC(CCCC)CC)C7=C1C=C(S7)C(C=C8)=CC=C8N9C%10=C(C=C(C(C)(C)C)C=C%10)C%11=C9C=CC(C(C)(C)C)=C%11,"Adv.Funct.Mater.2018,1706945",1153,480,,AIE,ICT,10.1002/adfm.201706945
2402,bMT-PIO,,O=P(C1=CC=CC=C1)(C2=C3C=CC=C2)C(C4=C(SC(C)=C4)C)=C3C5=C(SC(C)=C5)C,"JournalofPhotochemistryandPhotobiologyA:Chemistry,2018,355,274每282",446,449,,AIE,other,10.1016/j.jphotochem.2017.08.061
2403,aT-PIO,,O=P(C1=CC=CC=C1)(C2=C3C=CC=C2)C(C4=CC=CS4)=C3C5=CC=CS5,"JournalofPhotochemistryandPhotobiologyA:Chemistry,2018,355,274每282",390,521,,AIE,other,10.1016/j.jphotochem.2017.08.061
2404,bT-PIO,,O=P(C1=CC=CC=C1)(C2=C3C=CC=C2)C(C4=CSC=C4)=C3C5=CSC=C5,"JournalofPhotochemistryandPhotobiologyA:Chemistry,2018,355,274每282",390,468,,AIE,ESIPT,10.1016/j.jphotochem.2017.08.061
2405,aT-BTO,,O=S(C1=C2C=CC=C1)(C(C3=CC=CS3)=C2C4=CC=CS4)=O,"JournalofPhotochemistryandPhotobiologyA:Chemistry,2018,355,274每282",330,511,,AIE,other,10.1016/j.jphotochem.2017.08.061
2406,bT-BTO,,O=S(C1=C2C=CC=C1)(C(C3=CSC=C3)=C2C4=CSC=C4)=O,"JournalofPhotochemistryandPhotobiologyA:Chemistry,2018,355,274每282",330,476,,AIE,other,10.1016/j.jphotochem.2017.08.061
2407,bMT-BTO,,O=S(C1=C2C=CC=C1)(C(C3=C(C)SC(C)=C3)=C2C4=C(C)SC(C)=C4)=O,"JournalofPhotochemistryandPhotobiologyA:Chemistry,2018,355,274每282",386,453,,AIE,other,10.1016/j.jphotochem.2017.08.061
2408,HTPETPAN,,[H]/C(C1=CC=C(C2=CC=C(/C(C#N)=C(C3=CC=CC=C3)\C4=CC=CC=C4)C=C2)C=C1)=C(C5=CC=CC=C5)\C6=CC=CC=C6,"Adv. Mater. 2013, 25, 2837-2843",535.69,457,510,AIE,other,
2409,TPATPAN,,N#C/C(C(C=C1)=CC=C1C(C=C2)=CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6,"Adv.Mater.,2013,25,2837-2843",524.67,478,553,AIE,ICT,10.1002/adma.201205043
2411,4TPAE,,C1(/C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C5=CC=C(N(C6=CC=CC=C6)C7=CC=CC=C7)C=C5)/C8=CC=C(N(C9=CC=CC=C9)C%10=CC=CC=C%10)C=C8)=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C1,"J.Mater.Chem.C,2015,3,4903",1001.29,501,380,AIE,other,10.1039/c5tc00633c
2412,pTPI,,C12=C(C=CC=C3)C3=C(N=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C7=CC=CC=C7)C=C4)N8C9=CC=CC=C9)C8=C1C=CC=C2,"J.Mater.Chem.C,2019,7,6359-6368",624,493,483,AIE,other,10.1039/c9tc01453e
2413,mpCTPI,,N#CC1=CC=CC(N2C(C3=CC=C(/C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C6=CC=CC=C6)C=C3)=NC7=C8C(C=CC=C8)=C9C(C=CC=C9)=C72)=C1,"J.Mater.Chem.C,2019,7,6359-6368",649,503,485,AIE,other,10.1039/c9tc01453e
